comparison,mean_a,mean_b,p_paired_t
dtd:lora:late_vs_early,79.18,77.09,0.0094
dtd:lora:late_vs_mid,79.18,78.03,0.1025
dtd:lora:late_vs_even,79.18,77.98,0.1268
dtd:lora:late_vs_all,79.18,79.06,0.6669
dtd:ssf:late_vs_early,77.13,77.04,0.8233
dtd:ssf:late_vs_mid,77.13,77.27,0.5436
dtd:ssf:late_vs_even,77.13,77.25,0.7807
dtd:ssf:late_vs_all,77.13,77.94,0.2571
dtd:lora_all_vs_ssf_all,79.06,77.94,0.0471
cifar100:lora:auto_vs_early,91.97,92.22,0.3634
cifar100:lora:auto_vs_even,91.97,92.38,0.1335
cifar100:lora:auto_vs_late,91.97,90.91,0.0141
cifar100:lora:auto_vs_all,91.97,92.56,0.0712
flowers:lora:auto_vs_early,99.26,98.99,0.0855
flowers:lora:auto_vs_even,99.26,99.26,1.0
flowers:lora:auto_vs_late,99.26,99.25,0.8684
flowers:lora:auto_vs_all,99.26,99.31,0.0949
dtd:lora:auto_vs_early,77.73,77.09,0.1401
dtd:lora:auto_vs_even,77.73,77.98,0.5887
dtd:lora:auto_vs_late,77.73,79.18,0.0115
dtd:lora:auto_vs_all,77.73,79.06,0.014
