dataset,method,placement,trainable,test_acc,test_std,n
cifar100,lora,all,371812,92.56,0.09,3
cifar100,lora,early,175204,92.22,0.18,3
cifar100,lora,mid,175204,92.05,0.21,3
cifar100,lora,even,175204,92.38,0.1,3
cifar100,lora,late,175204,90.91,0.14,3
cifar100,ssf,all,279652,92.78,0.17,3
cifar100,ssf,early,144484,92.2,0.38,3
cifar100,ssf,mid,144484,92.59,0.06,3
cifar100,ssf,even,144484,92.64,0.33,3
cifar100,ssf,late,144484,90.4,0.39,3
flowers,lora,all,373350,99.31,0.15,3
flowers,lora,early,176742,98.99,0.17,3
flowers,lora,mid,176742,99.26,0.07,3
flowers,lora,even,176742,99.26,0.12,3
flowers,lora,late,176742,99.25,0.16,3
flowers,ssf,all,281190,99.22,0.08,3
flowers,ssf,early,146022,99.04,0.08,3
flowers,ssf,mid,146022,99.16,0.16,3
flowers,ssf,even,146022,99.12,0.06,3
flowers,ssf,late,146022,99.12,0.14,3
pets,lora,all,323365,93.97,0.37,3
pets,lora,early,126757,93.24,0.7,3
pets,lora,mid,126757,93.62,0.42,3
pets,lora,even,126757,94.05,0.3,3
pets,lora,late,126757,93.9,0.9,3
pets,ssf,all,231205,93.79,0.62,3
pets,ssf,early,96037,93.24,0.38,3
pets,ssf,mid,96037,93.6,0.4,3
pets,ssf,even,96037,93.47,0.33,3
pets,ssf,late,96037,93.48,0.35,3
