dataset,method,comparison,mean_diff,p_value,significant
cifar100,lora,all_vs_early,0.337,0.064,False
cifar100,lora,all_vs_mid,0.507,0.0663,False
cifar100,lora,all_vs_even,0.183,0.1183,False
cifar100,lora,all_vs_late,1.653,0.006,True
cifar100,lora,early_vs_mid,0.17,0.5199,False
cifar100,lora,early_vs_even,-0.153,0.1027,False
cifar100,lora,early_vs_late,1.317,0.0085,True
cifar100,lora,mid_vs_even,-0.323,0.2093,False
cifar100,lora,mid_vs_late,1.147,0.0236,True
cifar100,lora,even_vs_late,1.47,0.0026,True
cifar100,ssf,all_vs_early,0.583,0.1935,False
cifar100,ssf,all_vs_mid,0.197,0.2621,False
cifar100,ssf,all_vs_even,0.143,0.6271,False
cifar100,ssf,all_vs_late,2.387,0.0053,True
cifar100,ssf,early_vs_mid,-0.387,0.1827,False
cifar100,ssf,early_vs_even,-0.44,0.2917,False
cifar100,ssf,early_vs_late,1.803,0.0323,True
cifar100,ssf,mid_vs_even,-0.053,0.7977,False
cifar100,ssf,mid_vs_late,2.19,0.0122,True
cifar100,ssf,even_vs_late,2.243,0.0323,True
flowers,lora,all_vs_early,0.32,0.0639,False
flowers,lora,all_vs_mid,0.048,0.496,False
flowers,lora,all_vs_even,0.049,0.3748,False
flowers,lora,all_vs_late,0.059,0.4094,False
flowers,lora,early_vs_mid,-0.271,0.055,False
flowers,lora,early_vs_even,-0.271,0.0279,True
flowers,lora,early_vs_late,-0.26,0.0114,True
flowers,lora,mid_vs_even,0.0,0.9927,False
flowers,lora,mid_vs_late,0.011,0.8559,False
flowers,lora,even_vs_late,0.011,0.6981,False
flowers,ssf,all_vs_early,0.184,0.0405,True
flowers,ssf,all_vs_mid,0.06,0.4328,False
flowers,ssf,all_vs_even,0.098,0.0601,False
flowers,ssf,all_vs_late,0.098,0.2029,False
flowers,ssf,early_vs_mid,-0.124,0.1157,False
flowers,ssf,early_vs_even,-0.086,0.0487,True
flowers,ssf,early_vs_late,-0.086,0.1356,False
flowers,ssf,mid_vs_even,0.038,0.5953,False
flowers,ssf,mid_vs_late,0.038,0.0745,False
flowers,ssf,even_vs_late,0.0,1.0,False
pets,lora,all_vs_early,0.727,0.3392,False
pets,lora,all_vs_mid,0.345,0.389,False
pets,lora,all_vs_even,-0.082,0.8245,False
pets,lora,all_vs_late,0.064,0.9257,False
pets,lora,early_vs_mid,-0.381,0.591,False
pets,lora,early_vs_even,-0.809,0.2379,False
pets,lora,early_vs_late,-0.663,0.4912,False
pets,lora,mid_vs_even,-0.427,0.0698,False
pets,lora,mid_vs_late,-0.282,0.4355,False
pets,lora,even_vs_late,0.146,0.7171,False
pets,ssf,all_vs_early,0.545,0.3895,False
pets,ssf,all_vs_mid,0.182,0.4778,False
pets,ssf,all_vs_even,0.318,0.2997,False
pets,ssf,all_vs_late,0.309,0.2716,False
pets,ssf,early_vs_mid,-0.363,0.3487,False
pets,ssf,early_vs_even,-0.227,0.491,False
pets,ssf,early_vs_late,-0.236,0.5079,False
pets,ssf,mid_vs_even,0.136,0.0814,False
pets,ssf,mid_vs_late,0.127,0.0603,False
pets,ssf,even_vs_late,-0.009,0.7418,False
